iter	MAE
0	2727256.931
1	2624636.404
2	2521722.278
3	2437686.249
4	2350977.439
5	2275595.949
6	2192752.542
7	2127136.16
8	2067096.402
9	2007828.615
10	1953281.273
11	1892518.78
12	1844359.693
13	1798846.345
14	1752520.143
15	1707627.186
16	1662116.94
17	1627571.377
18	1595113.531
19	1565292.206
20	1528346.188
21	1496368.535
22	1469957.411
23	1445955.532
24	1420612.569
25	1399424.06
26	1375388.631
27	1350794.776
28	1332430.412
29	1314528.004
30	1296216.66
31	1281586.103
32	1269545.676
33	1258389.578
34	1243491.344
35	1228274.297
36	1214611.244
37	1203417.08
38	1192894.485
39	1183576.549
40	1176189.026
41	1167279.369
42	1156476.947
43	1145717.822
44	1135249.755
45	1125657.14
46	1118870.925
47	1110122.299
48	1102398.461
49	1095112.442
50	1088572.874
51	1082312.585
52	1076395.821
53	1070725.195
54	1064296.569
55	1058955.509
56	1053311.47
57	1049287.524
58	1045376.998
59	1040876.206
60	1037648.57
61	1034732.337
62	1030370.943
63	1028404.338
64	1025384.063
65	1023299.092
66	1018921.528
67	1015114.201
68	1011038.204
69	1008473.269
70	1004478.051
71	1000595.717
72	997550.0279
73	994072.2479
74	991323.9272
75	988890.3179
76	987663.4503
77	984613.3428
78	982665.8175
79	980150.8644
80	977453.2265
81	975502.2269
82	973064.3016
83	972123.7212
84	969243.9646
85	967273.586
86	965577.4154
87	964163.5821
88	962146.7185
89	960332.8891
90	958509.0873
91	955846.4781
92	954680.109
93	952213.7122
94	947862.8761
95	946595.2672
96	944416.8429
97	942031.405
98	940815.1041
99	939211.8436
100	938112.3779
101	936599.0157
102	935053.68
103	933501.2242
104	932689.6451
105	931972.1276
106	930998.8373
107	929278.2961
108	927629.0464
109	925945.0895
110	924712.6533
111	923210.8693
112	922091.1844
113	920469.1825
114	919781.4595
115	918715.2435
116	917592.9778
117	916956.1553
118	916189.0051
119	915043.6335
120	913860.5685
121	912693.7537
122	912204.6499
123	911455.7104
124	910778.0836
125	909003.1058
126	908039.8138
127	906341.2659
128	905137.699
129	903913.5773
130	902525.4134
131	900953.1407
132	899579.874
133	898163.3594
134	897022.0446
135	895914.0642
136	894929.027
137	894449.6197
138	893805.7909
139	892859.1908
140	891547.6956
141	890671.1595
142	890036.551
143	888567.5135
144	886887.2508
145	885884.2688
146	884745.3827
147	883350.0683
148	881898.1196
149	881416.6457
150	880596.5416
151	880334.8402
152	878736.4719
153	877904.1302
154	877037.4416
155	875430.7329
156	873556.1606
157	871900.4701
158	871161.0065
159	869272.8699
160	868590.0738
161	868092.4642
162	867522.8238
163	866522.0107
164	865542.634
165	864352.1851
166	863609.5744
167	863103.0613
168	862673.2007
169	861605.3586
170	860819.1643
171	859690.0389
172	858733.2562
173	858254.5625
174	856943.1196
175	856238.0009
176	855350.4011
177	854205.8314
178	853661.1301
179	852664.2215
180	852195.2491
181	850500.4705
182	850133.1202
183	849651.2227
184	848977.6448
185	848307.1135
186	847746.2701
187	846860.5104
188	845907.1007
189	845484.6812
190	845031.2177
191	844594.4032
192	842638.456
193	842290.5245
194	841578.0583
195	840896.4525
196	840454.4717
197	839988.2132
198	838852.4449
199	837606.5214
200	837074.3893
201	835857.3646
202	834629.8686
203	833940.9391
204	833339.0996
205	832164.7728
206	830858.4091
207	829876.5761
208	829476.1817
209	828599.9903
210	827545.8172
211	826965.9603
212	825647.9149
213	825053.94
214	824458.9552
215	824044.2333
216	823534.327
217	822360.9946
218	822075.2333
219	820846.2736
220	820051.2657
221	819082.1444
222	818062.3872
223	817513.6925
224	817196.2392
225	816239.1581
226	815844.036
227	815124.6937
228	814773.5526
229	813829.4042
230	812958.6258
231	812383.4986
232	812075.224
233	811758.7868
234	811178.7795
235	810347.1523
236	809689.3455
237	808836.607
238	808447.112
239	807938.2012
240	807351.8938
241	806890.8926
242	806365.3989
243	805316.0342
244	804212.4923
245	803755.1401
246	802950.0344
247	802337.6257
248	801551.5741
249	801203.4663
250	800619.5939
251	799813.3458
252	799147.9067
253	798582.9046
254	798270.7939
255	797703.1379
256	796966.5452
257	796672.0538
258	796209.3036
259	795561.5037
260	795254.8094
261	794182.0078
262	793090.9714
263	792420.167
264	791785.0128
265	790883.5927
266	790450.9905
267	790001.6453
268	789758.6243
269	788980.7414
270	788711.1581
271	788154.2238
272	787746.5739
273	787442.7227
274	786805.3458
275	786546.8544
276	786148.5673
277	785666.5038
278	785099.0991
279	784414.9687
280	783886.8003
281	783083.0904
282	782876.239
283	782323.271
284	782141.8827
285	781438.9445
286	781198.0156
287	780610.3101
288	780291.4801
289	779917.8908
290	779404.2983
291	779152.33
292	778921.5949
293	778100.747
294	777630.6031
295	777127.3241
296	776365.0601
297	776000.3037
298	775684.0228
299	775176.4139
300	774459.9849
301	773613.3043
302	772915.8797
303	772517.9593
304	772133.2619
305	771542.6467
306	771237.3707
307	770837.8331
308	770314.7772
309	769960.6781
310	769672.4784
311	768958.0103
312	768146.5158
313	767789.3607
314	767435.0754
315	767018.5336
316	766782.6329
317	766304.4093
318	765808.8589
319	765297.1425
320	764761.0762
321	764426.1788
322	764115.787
323	763915.1953
324	763456.4445
325	763042.4708
326	762477.3148
327	761881.4686
328	761343.9183
329	760803.3784
330	760596.6095
331	760285.4263
332	760130.177
333	759707.3229
334	759136.7415
335	758808.3409
336	758512.3027
337	758221.7106
338	758075.8162
339	757684.3475
340	757491.4935
341	756935.6598
342	756583.5546
343	756177.2629
344	755581.4761
345	755352.0489
346	755152.9924
347	754647.9603
348	754351.7719
349	754117.5792
350	753829.694
351	753500.7206
352	753073.6586
353	752551.5243
354	752264.2565
355	751610.3589
356	751369.6655
357	751153.0987
