iter	Passed	Remaining
0	32	482369
1	48	361781
2	86	430200
3	106	399960
4	147	442689
5	168	421302
6	187	400990
7	219	411125
8	235	392507
9	265	398515
10	285	388567
11	318	397503
12	338	390385
13	357	382513
14	390	390162
15	411	385471
16	447	394557
17	467	389485
18	510	402192
19	532	399038
20	552	394172
21	572	389785
22	611	397931
23	637	397568
24	675	404368
25	691	398170
26	724	401839
27	745	398451
28	779	402331
29	802	400393
30	815	393868
31	854	399676
32	871	395239
33	894	393584
34	929	397579
35	951	395356
36	992	401212
37	1012	398714
38	1050	402974
39	1077	402928
40	1115	407122
41	1131	402809
42	1170	406993
43	1194	405901
44	1232	409656
45	1254	407736
46	1300	413639
47	1323	412364
48	1370	418230
49	1390	415838
50	1430	419195
51	1455	418475
52	1493	421055
53	1518	420353
54	1558	423555
55	1603	427896
56	1639	429893
57	1685	434135
58	1745	442046
59	1799	448075
60	1816	444872
61	1859	448088
62	1880	445855
63	1926	449678
64	1958	450016
65	2002	453148
66	2058	458749
67	2083	457620
68	2132	461522
69	2157	460242
70	2214	465583
71	2239	464292
72	2291	468636
73	2340	472071
74	2371	471970
75	2412	473824
76	2434	471862
77	2479	474314
78	2508	473806
79	2539	473652
80	2557	471049
81	2583	469995
82	2611	469385
83	2649	470494
84	2679	470097
85	2713	470544
86	2749	471339
87	2798	474259
88	2830	474237
89	2875	476301
90	2909	476709
91	2943	476939
92	2986	478785
93	3007	476978
94	3050	478599
95	3073	477224
96	3096	475673
97	3140	477501
98	3164	476242
99	3208	478077
100	3228	476224
101	3265	476909
102	3291	476004
103	3329	476863
104	3357	476237
105	3397	477448
106	3424	476672
107	3462	477472
108	3482	475722
109	3526	477326
110	3552	476450
111	3611	480015
112	3641	479798
113	3694	482414
114	3716	481058
115	3752	481547
116	3775	480277
117	3818	481609
118	3840	480281
119	3883	481508
120	3903	479974
121	3949	481614
122	3991	482777
123	4014	481594
124	4041	480908
125	4063	479732
126	4107	481010
127	4130	479899
128	4165	480152
129	4180	478206
130	4223	479411
131	4240	477678
132	4283	478765
133	4306	477814
134	4342	478201
135	4365	477126
136	4384	475678
137	4422	476331
138	4441	474880
139	4493	476955
140	4518	476126
141	4560	477196
142	4584	476310
143	4629	477658
144	4660	477489
145	4695	477753
146	4723	477291
147	4764	478116
148	4794	477858
149	4837	478870
150	4856	477590
151	4895	478181
152	4919	477390
153	4976	479711
154	4996	478528
155	5043	479933
156	5068	479217
157	5096	478712
158	5128	478707
159	5153	477950
160	5190	478412
161	5225	478627
162	5267	479480
163	5305	479958
164	5333	479551
165	5382	480966
166	5431	482455
167	5459	482021
168	5513	483890
169	5554	484549
170	5589	484724
171	5609	483596
172	5645	483832
173	5676	483645
174	5720	484592
175	5744	483815
176	5768	483060
177	5809	483783
178	5835	483196
179	5885	484607
180	5902	483258
181	5952	484658
182	5977	483991
183	6005	483571
184	6028	482788
185	6092	485223
186	6126	485299
187	6191	487815
188	6225	487858
189	6271	488873
190	6294	488007
191	6354	490052
192	6387	490080
193	6431	490841
194	6487	492544
195	6543	494253
196	6585	494882
197	6610	494164
198	6650	494646
199	6671	493695
200	6708	493940
201	6728	492877
202	6764	493081
203	6796	492915
204	6817	491995
205	6842	491366
206	6883	491951
207	6899	490655
208	6938	491052
209	6963	490462
210	7019	492012
211	7039	491057
212	7082	491693
213	7107	491107
214	7164	492657
215	7198	492705
216	7225	492220
217	7269	492909
218	7295	492413
219	7333	492709
220	7362	492340
221	7405	492983
222	7458	494263
223	7500	494786
224	7524	494084
225	7555	493897
226	7575	492993
227	7615	493428
228	7634	492469
229	7664	492179
230	7700	492324
231	7748	493234
232	7780	493119
233	7821	493558
234	7843	492821
235	7869	492315
236	7920	493387
237	7957	493572
238	7982	493031
239	8006	492393
240	8040	492398
241	8086	493135
242	8108	492434
243	8150	492928
244	8170	492092
245	8217	492835
246	8246	492563
247	8293	493345
248	8315	492594
249	8355	492950
250	8404	493864
251	8429	493352
252	8452	492672
253	8504	493713
254	8530	493261
255	8568	493503
256	8597	493200
257	8641	493777
258	8659	492872
259	8703	493438
260	8718	492360
261	8760	492813
262	8780	491987
263	8827	492719
264	8862	492775
265	8906	493316
266	8927	492605
267	8975	493357
268	8997	492704
269	9019	492087
270	9045	491647
271	9065	490871
272	9152	493722
273	9178	493301
274	9239	494748
275	9262	494131
276	9296	494102
277	9316	493354
278	9358	493793
279	9391	493745
280	9407	492795
281	9454	493423
282	9486	493321
283	9525	493605
284	9550	493104
285	9591	493452
286	9607	492527
287	9655	493233
288	9677	492590
289	9729	493528
290	9761	493424
291	9798	493551
292	9814	492635
293	9852	492808
294	9876	492339
295	9921	492866
296	9943	492242
297	9990	492881
298	10025	492914
299	10044	492187
300	10069	491738
301	10092	491182
302	10133	491515
303	10156	490989
304	10192	491097
305	10220	490800
306	10263	491209
307	10289	490827
308	10347	491957
309	10396	492672
310	10437	492971
311	10461	492482
312	10491	492293
313	10540	492996
314	10580	493269
315	10609	493009
316	10626	492215
317	10672	492736
318	10689	491966
319	10729	492219
320	10751	491674
321	10793	492020
322	10817	491560
323	10859	491887
324	10883	491446
325	10922	491655
326	10954	491556
327	10986	491435
328	11010	490980
329	11051	491278
330	11089	491467
331	11111	490911
332	11145	490903
333	11175	490713
334	11197	490179
335	11252	491088
336	11280	490801
337	11321	491099
338	11360	491316
339	11407	491857
340	11429	491355
341	11471	491645
342	11498	491367
343	11515	490603
344	11552	490744
345	11574	490217
346	11617	490598
347	11635	489884
348	11678	490274
349	11698	489658
350	11747	490301
351	11767	489683
352	11806	489872
353	11830	489472
354	11886	490346
355	11945	491369
356	11996	492049
357	12040	492438
358	12065	492056
359	12083	491389
360	12120	491487
361	12157	491592
362	12189	491524
363	12217	491254
364	12241	490823
365	12283	491119
366	12306	490678
367	12331	490314
368	12369	490436
369	12411	490750
370	12451	490993
371	12474	490546
372	12494	489961
373	12525	489826
374	12556	489706
375	12597	489960
376	12627	489798
377	12676	490377
378	12698	489877
379	12740	490183
380	12763	489721
381	12804	489987
382	12824	489454
383	12866	489743
384	12889	489282
385	12938	489836
386	12975	489935
387	12997	489488
388	13050	490181
389	13094	490538
390	13125	490414
391	13165	490605
392	13217	491266
393	13240	490832
394	13285	491226
395	13304	490639
396	13346	490916
397	13374	490699
398	13427	491376
399	13474	491821
400	13499	491468
401	13538	491646
402	13563	491281
403	13612	491800
404	13634	491330
405	13676	491613
406	13705	491418
407	13745	491598
408	13768	491205
409	13809	491408
410	13836	491131
411	13874	491275
412	13899	490918
413	13980	492542
414	14017	492640
415	14043	492348
416	14068	492005
417	14101	491943
418	14123	491505
419	14166	491776
420	14190	491393
421	14242	492021
422	14267	491684
423	14304	491762
424	14327	491344
425	14376	491838
426	14434	492645
427	14461	492368
428	14486	492046
429	14508	491593
430	14546	491720
431	14568	491278
432	14588	490787
433	14626	490913
434	14650	490533
435	14684	490531
436	14704	490018
437	14748	490329
438	14764	489701
439	14802	489829
440	14823	489367
441	14859	489426
442	14888	489222
443	14914	488950
444	14955	489153
445	14987	489063
446	15005	488544
447	15025	488067
448	15064	488192
449	15083	487704
450	15132	488153
451	15182	488672
452	15210	488442
453	15230	487970
454	15269	488128
455	15293	487779
456	15326	487730
457	15350	487388
458	15398	487807
459	15444	488167
460	15472	487963
461	15515	488220
462	15539	487906
463	15579	488074
464	15601	487665
465	15638	487755
466	15654	487164
467	15696	487396
468	15721	487091
469	15775	487697
470	15798	487323
471	15838	487510
472	15866	487301
473	15911	487618
474	15952	487800
475	15989	487896
