https://linkedin.com : other ERROR
https://en.wikipedia.org : {"the": 53, "of": 39, "and": 23}
https://support.google.com : {"Google": 89, "Help": 10, "Center": 10}
https://cloudflare.com : {"and": 87, "Cloudflare": 65, "to": 57}
https://www.blogger.com : {"your": 16, "a": 10, "blog": 9}
https://youtu.be : {"YouTube": 2, "О": 1, "сервисе": 1}
https://docs.google.com : {"Sign": 2, "in": 2, "Google": 2}
https://www.google.com : {"Google": 2, "Поиск": 1, "Картинки": 1}
https://maps.google.com : {"Google": 2, "Карты": 1, "When": 1}
https://accounts.google.com : {"Sign": 2, "in": 2, "Google": 2}
https://wordpress.org : {"and": 18, "WordPress": 17, "the": 14}
https://facebook.com : other ERROR
https://drive.google.com : {"to": 3, "Google": 2, "Sign": 1}
https://plus.google.com : {"Sign": 2, "in": 2, "Google": 2}
https://github.com : {"GitHub": 41, "to": 17, "and": 17}
https://policies.google.com : {"and": 16, "Privacy": 15, "Terms": 11}
https://mozilla.org : {"Firefox": 20, "the": 19, "for": 15}
https://europa.eu : {"languages": 2, "Language": 1, "selection": 1}
https://vk.com : {"ВКонтакте": 3, "Мобильная": 2, "версия": 2}
https://webdevblog.ru/vvedenie-v-potoki-v-python/ : {"в": 155, "и": 113, "что": 76}
https://whatsapp.com : {"WhatsApp": 12, "и": 9, "Português": 4}
https://draft.blogger.com : {"your": 16, "a": 10, "blog": 9}
https://vimeo.com : {"and": 20, "Vimeo": 17, "for": 16}
https://big-i.ru : {"и": 15, "в": 11, "Управление": 8}
https://google.com.br : {"Google": 3, "Поиск": 1, "Картинки": 1}
https://search.google.com : {"Google": 2, "Поиск": 1, "Картинки": 1}
https://t.me : {"Telegram": 19, "and": 10, "for": 8}
https://enable-javascript.com : {"the": 76, "to": 31, "on": 23}
https://w3.org : {"the": 63, "and": 62, "of": 38}
https://istockphoto.com : {"и": 81, "Фотографии": 45, "на": 22}
https://live.com : {"and": 23, "Outlook": 21, "for": 17}
https://uol.com.br : {"Site": 336, "de": 111, "e": 70}
https://nytimes.com : {"the": 96, "The": 52, "min": 52}
https://shopify.com : {"to": 38, "of": 34, "Shopify": 32}
https://google.de : {"Google": 3, "Поиск": 1, "Картинки": 1}
https://imdb.com : {"the": 24, "Watch": 15, "and": 11}
https://google.es : {"Google": 3, "Поиск": 1, "Картинки": 1}
https://dropbox.com : {"and": 58, "Dropbox": 39, "to": 25}
https://line.me : other ERROR
https://amazon.com : {"Amazon": 42, "to": 23, "Shop": 18}
https://jimdofree.com : {"Website": 23, "your": 19, "to": 11}
https://gstatic.com : {"Error": 1, "404": 1, "an": 1}
https://bbc.co.uk : other ERROR
https://files.wordpress.com : {"for": 36, "your": 34, "and": 30}
https://tools.google.com : {"Chrome": 98, "Google": 65, "and": 64}
https://fr.wikipedia.org : {"de": 67, "la": 29, "et": 25}
https://www.yahoo.com : {"for": 60, "the": 56, "to": 45}
https://news.google.com : {"share": 54, "ago": 42, "hours": 24}
https://gravatar.com : {"and": 17, "Gravatar": 12, "the": 9}
https://forbes.com : {"Forbes": 82, "ago": 21, "day": 15}
https://es.wikipedia.org : {"de": 116, "la": 27, "y": 20}
https://pt.wikipedia.org : {"de": 55, "e": 27, "a": 25}
https://slideshare.net : {"406": 2, "Not": 2, "Acceptable": 2}
https://ok.ru : {"с": 5, "для": 5, "бизнеса": 4}
https://wikimedia.org : {"the": 5, "Wikimedia": 4, "to": 4}
https://theguardian.com : {"the": 140, "to": 108, "of": 96}
https://cnn.com : {"CNN": 19, "US": 8, "World": 8}
https://youronlinechoices.com : {"and": 13, "to": 12, "for": 9}
https://creativecommons.org : {"and": 12, "to": 9, "Creative": 8}
https://medium.com : {"read": 18, "min": 17, "Nov": 14}
https://brandbucket.com : {"the": 2, "connection": 2, "to": 2}
https://feedburner.com : {"Feedburner": 1}
https://paypal.com : {"и": 15, "PayPal": 12, "счет": 8}
https://who.int : {"and": 20, "2022": 14, "WHO": 13}
https://google.co.jp : {"Google": 3, "Play": 1, "YouTube": 1}
https://developers.google.com : {"Google": 45, "and": 21, "Learn": 14}
https://buydomains.com : {"a": 25, "domain": 18, "to": 16}
https://scribd.com : {"This": 3, "page": 3, "is": 3}
https://bloomberg.com : {"and": 4, "you": 3, "Bloomberg": 2}
https://get.google.com : {"Google": 2, "Поиск": 1, "Картинки": 1}
https://soundcloud.com : other ERROR
https://netvibes.com : {"NETVIBES": 4, "Social": 3, "Business": 3}
https://usatoday.com : {"to": 20, "in": 17, "a": 15}
https://afternic.com : {"Access": 2, "Denied": 2, "You": 1}
https://bing.com : {"Видео": 2, "Карты": 2, "Bing": 1}
https://nih.gov : {"NIH": 48, "of": 28, "and": 28}
https://indiatimes.com : {"The": 9, "Latest": 8, "Stories": 8}
https://www.gov.uk : {"and": 88, "the": 16, "to": 12}
https://tinyurl.com : {"URL": 2, "shorten": 1, "that": 1}
https://amazon.co.jp : {"Amazon": 11, "no": 10, "need": 10}
https://booking.com : {"hotels": 60, "properties": 47, "to": 21}
https://reuters.com : {"new": 48, "tab": 48, "in": 37}
https://websitebuilders.com : {"to": 143, "the": 128, "you": 126}
https://independent.co.uk : {"to": 62, "the": 53, "in": 33}
https://medium.com/analytics-vidhya/asyncio-threading-and-multiprocessing-in-python-4f5ff6ca75e8 : {"the": 32, "to": 28, "is": 27}
https://google.fr : {"Google": 3, "Поиск": 1, "Картинки": 1}
https://dailymail.co.uk : {"the": 740, "in": 534, "to": 456}
https://www.integralist.co.uk/posts/python-asyncio/ : {"the": 180, "to": 120, "a": 87}
https://www.andreyus.com/making-os-image-with-packer/ : {"в": 26, "с": 19, "мы": 16}
https://abril.com.br : {"de": 15, "a": 12, "partir": 12}
https://schoolsw3.com : {"Учебник": 76, "Справочник": 42, "HTML": 35}
https://dzone.com//articles/using-packer-create-vagrant : {"the": 37, "to": 21, "a": 15}
https://stackoverflow.com : {"and": 40, "to": 33, "the": 31}
https://www.digitalocean.com/community/tutorials/how-to-install-and-get-started-with-packer-on-an-ubuntu-12-04-vps : {"the": 74, "to": 49, "and": 40}
https://stepik.org : {"Stepik": 2, "Download": 1, "any": 1}
https://globo.com : {"e": 49, "de": 45, "do": 27}
https://definir-tech.com/app2/21261/what-are-the-10-example-of-url : {"is": 22, "the": 20, "a": 17}
https://dailymotion.com : other ERROR
https://issuu.com : other ERROR
https://bbc.com : other ERROR
